,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
14,0.13000003496805826,0.009999990463256836,0.6227967097532315,0.8372581166008396,gini,4,6,100,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 100, 'max_depth': 4}",32,0.6584507042253521,0.8289241622574955,0.602112676056338,0.8589065255731922,0.607773851590106,0.823943661971831,1.1239159602905075e-07,0.0,0.025338961793936698,0.015442183654944555
15,0.20333337783813477,0.009999990463256836,0.6263219741480611,0.8372601866342085,gini,4,6,150,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 150, 'max_depth': 4}",22,0.6514084507042254,0.8324514991181657,0.6161971830985915,0.8589065255731922,0.6113074204946997,0.8204225352112676,0.004714040712246475,0.0,0.017866259491121566,0.016074762523168345
16,0.1266667048136393,0.009999990463256836,0.6169212690951822,0.8954167391178345,gini,5,3,100,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 100, 'max_depth': 5}",48,0.6514084507042254,0.8835978835978836,0.5845070422535211,0.9065255731922398,0.6148409893992933,0.8961267605633803,0.0047141531038425045,0.0,0.027367848799483785,0.009373645159831136
17,0.17999998728434244,0.013333320617675781,0.6216216216216216,0.8960139437447731,gini,5,3,150,"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 150, 'max_depth': 5}",34,0.6373239436619719,0.908289241622575,0.6126760563380281,0.8994708994708994,0.6148409893992933,0.8802816901408451,1.1239159602905075e-07,0.004714040712246475,0.011148075206704196,0.011692408995290768
18,0.13000003496805826,0.009999990463256836,0.6016451233842538,0.9071672835366106,gini,5,4,100,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 100, 'max_depth': 5}",63,0.6443661971830986,0.9029982363315696,0.5633802816901409,0.91005291005291,0.5971731448763251,0.9084507042253521,1.1239159602905075e-07,0.0,0.03323203801330426,0.0030196558111656832
19,0.19333338737487793,0.013333320617675781,0.6251468860164512,0.9042226610692964,gini,5,4,150,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 150, 'max_depth': 5}",27,0.6654929577464789,0.8994708994708994,0.6161971830985915,0.8959435626102292,0.5936395759717314,0.9172535211267606,0.004714040712246475,0.004714040712246475,0.03000159531278968,0.009326057105768136
20,0.13666661580403647,0.009999990463256836,0.6075205640423031,0.9065887092099923,gini,5,5,100,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 100, 'max_depth': 5}",60,0.6408450704225352,0.9135802469135802,0.573943661971831,0.9135802469135802,0.607773851590106,0.8926056338028169,0.004714096909049338,0.0,0.02732901296054422,0.009887527442256672
21,0.1999999682108561,0.013333320617675781,0.6204465334900118,0.9124572538109313,gini,5,5,150,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 150, 'max_depth': 5}",38,0.647887323943662,0.9135802469135802,0.5880281690140845,0.9135802469135802,0.6254416961130742,0.9102112676056338,1.1239159602905075e-07,0.004714040712246475,0.024704656389541592,0.0015881520762173933
22,0.14333335558573404,0.009999990463256836,0.6075205640423031,0.9130482483377632,gini,5,6,100,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 100, 'max_depth': 5}",60,0.6549295774647887,0.91005291005291,0.5633802816901409,0.9241622574955908,0.6042402826855123,0.9049295774647887,0.004714096909049338,0.0,0.03746840750260901,0.008132364718511385
23,0.2070000171661377,0.016666650772094727,0.6227967097532315,0.9153998062448766,gini,5,6,150,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 150, 'max_depth': 5}",32,0.647887323943662,0.9118165784832452,0.6056338028169014,0.9294532627865961,0.6148409893992933,0.9049295774647887,0.004966530870256587,0.004714040712246475,0.018150619222204383,0.010327388386697861
